eng,dua
"It encompasses his desires , thinking , disposition , attitudes , abilities , motivations , and goals .","E bambe ̱ mpuli mo ̱ ngo ̱ , mo ̱ nge ̱ le ̱ , bete ̱ medi ba mudī , beboledi , ngudi , nje e matute ̱ le ̱ wa , na mambo o mabupe ̱ no ̱ ."
We need to be careful not to allow our love for Christ to weaken and let ourselves be distracted from Kingdom interests .,"E mapula ná di no ̱ nge jangame ̱ ye ̱ ná di s 'ese ̱ le ̱ ná ndolo di be ̱ ne ̱ nno ̱ Kristo e bo ̱ be , nde ná mambo mape ̱ pe ̱ ma lo ̱ nde biso ̱ ńai di si me ̱ nde ̱ no ̱ pe ̱ se ̱ le ̱ pulise ̱ myam ma Janea ."
"It pushes people to outdo one another , breeds jealousy , and in the end , proves to be "" a chasing after the wind . "" - Eccl .","E matute ̱ le ̱ o mutango , eko ̱ n , njo , o sukan , man me ̱ se ̱ me nde "" bupe ̱ la ngo ̱ . "" - Mul ."
How sad !,E se ̱ ndutu e !
Modern Hebrew and Greek are quite different from those languages back in Bible times .,Ebanja eyem 'a Bonahebe ̱ r na ya Grikia ba mato ̱ po ̱ no ̱ we ̱ nge ̱ be diwengisan na nje ba tano ̱ ba to ̱ po ̱ o ponda Bibe ̱ l e tilabe ̱ no ̱ .
SELF - CONTROL,JALEA LA ŃOLO
Jehovah 's primary purpose for inspiring that section of the Scriptures was to identify the Messiah and lead God 's people to him .,Janda laboso Yehova a tilise ̱ no ̱ be Betiledi di ta nde o jongwane ̱ bato o jemba Mesia na bupe ̱ pe ̱ mo ̱ .
"The Kingdom under Jesus Christ will perfectly reflect the personality of Jehovah God , who is a God of order .","Janea le owas 'a Yesu Kristo di me ̱ nde ̱ lee ̱ le ̱ o mbad 'a ke ̱ nge ̱ nge ̱ bede ̱ mo ba Yehova Loba , nu titi Loba la mpungu . ( 1 Kor ."
We need to continue to make spiritual progress .,Jangame ̱ n benga ńaka o mudī . ( Kol .
Many of God 's servants have discovered the relief that comes from seeking and receiving help from the elders .,"Jita la baboledi ba Loba be ná ba bola mboṅ ná pulise ̱ la jongwane ̱ la batudu , na kusa la mo ̱ , ba mawana lo ̱ ko ̱ mea ."
"The first of these articles discusses how true happiness comes from loving God and not from the counterfeit types of love so evident in "" the last days . ""","Jokwa laboso la man mokwa maba di makwalea ne ̱ ni bonam ba mbale ̱ bo mawano ̱ nde tongwea na to ̱ ndo ̱ la Loba , nde seto ̱ tongwea na ńai na ńai a ndol 'a mawo ̱ ndo ̱ n i me ̱ ne ̱ ne ̱ o "" mińa misukan . "" ( 2 Tim ."
"For example , in Montreal at a deaf club , I witnessed to Eddie Tager , a young man who was part of a gang .","K 'eyembilan , O Montreal , o epol 'a jako ̱ to ̱ ne ̱ ya bando ̱ ki , na te ̱ ye ̱ Edie Taeger dikalo , eso ̱ mb 'a moto ewo ̱ e ta nde mot 'a jiba nunde ̱ ne ̱ ; a timbi be ̱ munasango ."
"For example , he uses bait to lure them into doing things his way .","K 'eyembilan , a mabolane ̱ edesan o lo ̱ ndo ̱ bato ná ba bole mambo kaponda mpuli mao ."
"For example , a Witness named Renee suffered a stroke and struggled with chronic pain and cancer .","K 'eyembilan , munańango mō ̱ nu belabe ̱ ná Rene a ta a ko ̱ nje ̱ mbe ̱ le ̱ , nde a takane ̱ pe ̱ sese ni si mabo ̱ , na pol 'a ńambe ."
"In conclusion , the adjusted wording in Psalm 144 does not change our understanding of Bible teachings .","Ke ̱ di makwala so ̱ ná , diwengisan la betukwedi di maso ̱ be ̱ o Myenge 144 di si matukwa so ̱ ṅtane ̱ lasu la belēdi ba Bibe ̱ l ."
"When he was 12 years old , the teachers at the temple were amazed at "" his understanding and his answers "" regarding spiritual matters . - Luke 2 : 42 , 46 , 47 .","Ke ̱ e 12 la mbu , balēdi o tempe ̱ l ba ta ba ńaka ońola "" so ̱ ṅtane ̱ lao na malabe ̱ mao "" jombwea mambo ma mudī . - Lukas 2 : 42 , 46 , 47 ."
"Baptism is a requirement for Christians , and it is an essential step to gaining salvation . - Matt .","Kriste ̱ n te ̱ ńangame ̱ n o dubisabe ̱ , dubise ̱ le pe ̱ nde tanga la mweńa ońola jongise ̱ . - Mat ."
Forgive freely .,Lakise ̱ na mulema mwe ̱ se ̱ .
"Some 1,000 came to Mexico City for the 1941 Theocratic Assembly .",Lambo ka ikol 'a bato bukedi o ndongame ̱ n ninde ̱ ne ̱ o Meksiko o mbu ma 1941 .
Matthias filled a vital organizational need .,Matias a londise ̱ ńo ̱ ng 'a bebokedi ninde ̱ ne ̱ .
"Our eldest daughter , Irina , and her family live in Germany .",Mun 'asu ńa muto ńa boso Irina na mbia mao be o Jaman .
"I will love them of my own free will . ""","Na mato ̱ ndo ̱ babo ̱ na mulema mwe ̱ se ̱ . """
"Jehovah is indeed a loving Father , and he comforts us when we face difficulties .","Na mbale ̱ , Yehova e nde Sango asu ńa ndolo , a malo ̱ ko ̱ pe ̱ biso ̱ ke ̱ je oteten a mitakisan ."
"I was content and happy . ""","Na ta muńe ̱ nge ̱ na bonam . """
"It 's hard for me to express the joy we feel . ""","Na titi ná na we ̱ le ̱ teleye ̱ muńe ̱ nge ̱ di mabwano ̱ . """
Even his final words before he died included quotations of Messianic prophecies .,"Nate ̱ na o byala bao besukan oboso ná a mawo ̱ , a timbise ̱ le ̱ nde bepasi ba Betiledi be ta be to ̱ pea ońola bedinge ̱ jombwea Mesia ."
They were suffering opposition and were subjected to abusive speech .,Nde mi myemba mi ta mi be ̱ ne ̱ ńo ̱ ng 'a jongwane ̱ na bediedi ebanja mi ta mi lembe ̱ mitakisan na dibena .
"However , when he sobers up , he laughs no more , and he may return to a life full of sorrow and troubles .","Nde ponda belam be mabo ̱ no ̱ mo ̱ o miso ̱ , a si makenja pe ̱ , nde to ̱ ndut 'ao pe ̱ e si ńo ̱ ngi ."
In what ways did Noah trust in Jehovah as his Provider ?,Ne ̱ ni Noa a lee ̱ le ̱ no ̱ ná a ta a lakisane ̱ Yehova o sombwea mbia mao e ?
How can those who teach from the platform make the Scriptures the focus of their teaching ?,Ne ̱ ni ba ba malee ̱ o kwande ̱ ki beno ̱ ná ba bola ná belēdi babu be se ̱ me ̱ ye ̱ nde o Bibe ̱ l e ?
"How have some applied this Scriptural counsel and made needed changes that allowed them to experience lasting peace - with Jehovah , with themselves , and with fellow humans ?","Ne ̱ ni bō ̱ ba we ̱ le ̱ no ̱ man malea ma Betiledi o ebolo , ba po ̱ ngo ̱ pe ̱ mawengisan mongwane ̱ babo ̱ o be ̱ ne ̱ musango ma po ̱ ko ̱ po ̱ ko ̱ na Yehova , na babo ̱ mo ̱ me ̱ ne ̱ , na bane ̱ bato ba benama e ?"
"It has been a great source of satisfaction not only to see our children reach spiritual goals but to share the journey with them . ""","Nika ńe muńe ̱ nge ̱ jita , seto ̱ buka te ̱ o je ̱ ne ̱ ná mun 'asu a londe ̱ mambo ma mudī a tano ̱ a bupe ̱ , nde ná jongwane ̱ babo ̱ o tongwe ̱ le ̱ . """
How did the Israelites handle cases of willful murder ?,Nje Bonaisrael ba tano ̱ bangame ̱ n bolane ̱ mukome ̱ maya na m 'boṅsan e ?
Evidence of holy spirit .,Nje e mabole ̱ mboṅ ná di be ̱ n mudī - musangi .
"How comforting it is to know that Jehovah , the God of all comfort , will eliminate all grief and provide permanent consolation when "" all those in the memorial tombs will hear [ Christ 's ] voice and come out "" !","Njika belo ̱ ko ̱ medi bia ná Yehova Loba la lo ̱ ko ̱ mea le ̱ se ̱ , a me ̱ nde ̱ bo ̱ le ̱ ndutu ye ̱ se ̱ , nde a bola lo ̱ ko ̱ mea di si me ̱ nde ̱ pe ̱ bo ̱ , ponda "" be ̱ se ̱ be o so ̱ ngo ̱ ba me ̱ nde ̱ no ̱ senga doi la [ Kristo ] nde ba busa "" !"
"In contrast , Jesus "" has been raised up from the dead , [ and ] dies no more ; death is no longer master over him . ""","O diwengisan , Yesu "" nu pumbwabe ̱ le ̱ o kwedi a si mawo ̱ pe ̱ ; kwedi e si be ̱ n pe ̱ janea omo ̱ ń ao . """
"Finally , we will consider how "" the peace of God "" can help us to endure with full confidence in Jehovah .","O sukan , di me ̱ nde ̱ jombwea ne ̱ ni "" musango ma Loba "" mweno ̱ ná mongwane ̱ biso ̱ o we ̱ lisane ̱ na we ̱ le ̱ lakisane ̱ lasu le ̱ se ̱ omo ̱ ń a Yehova ."
"When they left , the chief smiled and waved to us .","O wala labu , na mwanedi nunde ̱ ne ̱ a ńamwe ̱ le ̱ son a lo ̱ , a nangane ̱ biso ̱ na pe ̱ pe ̱ la dia ."
"Shortly before his death , Jesus realized that some of his followers were expecting him to set up an earthly kingdom centered in Jerusalem .","Oboso ná a mawo ̱ , Yesu a so ̱ i ná bokwedi bao bō ̱ ba ta bengane ̱ mo ̱ ná a bokise ̱ Janea o wase o Yerusalem ."
"Later , I realized that confidence was no longer an issue .","Ombusa ponda , na so ̱ i ná y 'ebe ̱ yed 'a pī e bo ̱ i na mba ."
Why should older ones help younger ones to take on increased responsibility ?,Ońola nje bonasango ba máno ̱ nge ̱ mimbu bangame ̱ nno ̱ jongwane ̱ beso ̱ mbe ̱ o bambe ̱ m 'bē ̱ minde ̱ ne ̱ e ?
Why is it important to think of how you personally have tasted Jehovah 's goodness ?,Ońola nje yeno ̱ mweńa ná o duteye o ne ̱ ni o kekino ̱ bwam ba Yehova e ?
"Because true followers of Christ "" are all one . "" - Col .",Ońolana bokwedi ba Kristo ba mbale ̱ ' be nde moto mō ̱ ' . - Kol .
"At times , sweating and straining in blazing heat to push their truck over huge dunes , they went through rocky valleys and across sandy riverbeds .","Ponda iwo ̱ , oteten a miwe ̱ n minde ̱ ne ̱ n 'eńangi owas 'a wei nde ba tano ̱ be ̱ ba nime ̱ le ̱ mutoa mabu oteten a mikondoki ma mukoko ; ba dangwa oteten a m 'beṅsan ma madale na o sanj 'a mukoko ."
Please accept it . ',"Son , kasane ̱ mba mo ̱ . '"
"This medium - sized container has a "" round lid of lead . ""","Y 'esanja e ta e be ̱ ne ̱ "" ngut 'a dipito . """
Jehovah promises to put an end to it for all time .,Yehova a kakane ̱ o bo ̱ le ̱ bila o bwindea .
Jehovah has lived up to his promise to care for fatherless children .,Yehova a londise ̱ dikaki lao la jongwane ̱ bana ba ńue . ( Mye .
"We may have given thought to what we already know about the subject , and we may even have done research in our publications .","Yen ebe di ta di mádutea jombwea nje di bino ̱ o di to ̱ ti , to ̱ ná di ta di mápo ̱ ngo ̱ muwaso o kalat 'asu ."
Jesus Christ set the perfect example for you young ones .,Yesu a die ̱ le ̱ bińo ̱ beso ̱ mbe ̱ eyembilan e peti bwam .
overcoming barriers to extending hospitality ?,"njika mikidi mi meke ̱ biso ̱ o kasa be ̱ n e , ne ̱ ni pe ̱ jeno ̱ ná di buka mo ̱ e ?"
"May we continue to show our love not just "" in word "" but also "" in deed and truth . ""","( 1 Kor . 13 : 2 ) Di benge lee ̱ le ̱ ndol 'asu , seto ̱ buka te ̱ "" na byala "" nde "" na bebolo na mbale ̱ . """
"Even so , he centered his life , not on material concerns , but on God .","( Bbot . 5 : 28 , 29 ) Nde to ̱ na nika , a we ̱ le ̱ nde mo ̱ me ̱ ne ̱ mususu o bolea Loba , seto ̱ o sombwea mbia ."
"( Read Luke 10 : 41 , 42 . )","( Langa Lukas 10 : 41 , 42 . )"
"When you let your light shine - by inviting others to serve God , by conducting yourself in a way that promotes unity , and by maintaining a watchful attitude - you will find increased happiness .","( Mye . 128 : 1 ) Wese ̱ le ̱ te ̱ ná mwe ̱ ne ̱ n mo ̱ ngo ̱ mu pańe tongwea na jongwane ̱ bane ̱ o bolea Loba , tongwea na die ̱ le ̱ wame ̱ ne ̱ o mbadi ni masue ̱ le ̱ jalatane ̱ , na tongwea na ja peńa , o me ̱ nde ̱ bata be ̱ bonam ."
"What did Jephthah and Hannah vow , and how easy was it for them to pay their vow ?","( Mye . 24 : 3 , 4 ) Njika kakane ̱ Yefta na Hana ba bolino ̱ e , mo ̱ nika e ta lambo di bo ̱ bi ná ba londise ̱ kakane ̱ labu e ?"
His readers no doubt found it easier to accept his advice when they saw from his greeting that they had the same standing before God .,1 : 1 ) Ye ̱ ke ̱ i te ̱ balangedi bao ba kasi malea mao na bo ̱ bise ̱ la ńolo ponda ba so ̱ ṅtane ̱ no ̱ tongwea na masoma mao ná babo ̱ be ̱ se ̱ be nde lambo diwo ̱ oboso ba Loba .
"Had Adam and Eve died childless , God 's purpose to fill the earth with their offspring would have come to nothing .","1 : 28 ) Adam na Eva ba wo ̱ te ̱ esibe ̱ babo ̱ ya bana , mwano ma Loba ma londise ̱ wase na mbot 'abu mu wusa nde be ̱ ewolo ."
"10 , 11 . ( a ) What reality do many adolescents have to face at school ?","10 , 11 . ( a ) Njika makekisan beso ̱ mbe ̱ jita be be ̱ nno ̱ o besukulu e ?"
"11 , 12 . ( a ) How can modesty help us to deal with flattery or excessive praise ?","11 , 12 . ( a ) Ne ̱ ni sibise ̱ la ńolo di mongwane ̱ no ̱ biso ̱ o lembe ̱ musesako mu tombi moyo e ?"
We could ask ourselves : ' Will my choice of entertainment make me seem hypocritical ?,12 : 9 ) Je ná di baise ̱ na biso ̱ me ̱ ne ̱ ná : ' Longe ̱ le ̱ la ńolo na mapo ̱ so ̱ no ̱ di malee ̱ le ̱ ná ne mawo ̱ ndo ̱ n e ?
"In contrast , love will move us to avoid any discrimination based on education , race , or social status .","2 : 8 , 9 ) Nde o mune ̱ mudi , ndolo e me ̱ nde ̱ tute ̱ le ̱ biso ̱ o samba me ̱ ngise ̱ la bato na ndando ońola esukulu ba yengino ̱ , muso ̱ no ̱ mabu m 'eyobo , to ̱ bete ̱ medi babu ."
What might induce them to do such a thing ?,"20 : 7 , 8 ) Nje ye ná e tute ̱ le ̱ babo ̱ o bola ninka lambo e ?"
"3 , 4 . ( a ) What political expectations did the Jews have in Jesus ' day ?","3 , 4 . ( a ) Njika dipita la politik Bajū ba tano ̱ ba be ̱ ne ̱ o mińa ma Yesu e ?"
"Remember , Jehovah 's discipline reflects his matchless wisdom and love .","3 : 5 , 6 ) Ne ̱ nge ̱ o mulopo ná beko ̱ kisedi ba Yehova be malee ̱ le ̱ dibie ̱ na ndol 'ao ba si be ̱ n eme ̱ ne ̱ n ."
Did not the One who made me in the womb also make them ?,"A kwali ná : "" Nu nu weki mba o dibum la yeye ̱ , seto ̱ mo ̱ pe ̱ nde a weki mūt 'am e ? """
"She acknowledges how a study of the Bible affected her , saying : "" I was molded with a new heart and mind .","A memba ne ̱ ni jokwa la Bibe ̱ l di tukono ̱ mo ̱ , mo ̱ ná : "" Na tuko mulema mam na mo ̱ nge ̱ le ̱ mam ."
"He corresponded exactly to all that Adam should have been - a perfect man , absolutely loyal and obedient to God .","A ta nde kapo ̱ ka nje te ̱ Adam a tano ̱ angame ̱ n be ̱ - moto ńe ke ̱ nge ̱ nge ̱ ńe jemea di bo ̱ le ̱ , na nu masengane ̱ Loba . ( 1 Tim ."
She died when I was 14 .,A wedi ke ̱ ne 14 la mbu .
They took a zealous lead in the preaching work .,Ba ta nde bate ̱ dikalo ba ko ̱ di .
They were the first in my family to have contact with Jehovah 's Witnesses .,Babo ̱ nde ba ta baboso o mbia mam o be ̱ ne ̱ mulatako na Mboṅ a Yehova .
"Wickedness is deposited in "" the land of Shinar , "" or Babylon .","Balane ̱ nde bobe "" o ekombo a Sinear , "" to ̱ so ̱ Babilon ."
"Others worry about losing control , convinced that younger ones cannot do things as well .","Bape ̱ pe ̱ ba mabwa ndutu ná ba si me ̱ nde ̱ pe ̱ jombwea mambo , ebanja ba dube ̱ ná beso ̱ mbe ̱ be titi ná be bola mambo bwam ka babo ̱ ."
"Second , in strongly reproving Shebna , Jehovah may have been showing that he did not consider Shebna beyond recovery .","Be londe ̱ beba , beko ̱ kisedi ba ngińa Yehova a ko ̱ kise ̱ no ̱ Sebna be ta nde o lee ̱ le ̱ ná a dube ̱ ná e ná a tukwa . ( Min ."
Those words strengthened her .,Ben byala bembe ̱ mo ̱ .
"Visits of public speakers from other congregations , as well as visits of circuit overseers and , at times , representatives from the local branch office , provide opportunities for us to extend hospitality .","Biso ̱ be ̱ se ̱ je muńe ̱ nge ̱ ke ̱ be ̱ n ba po ̱ i o tombise ̱ ekwali o mwemba masu . Ba be ̱ n be ná ba be ̱ bonasango ba wu o myemba mipe ̱ pe ̱ , baboledi b 'ebondo , ponda iwo ̱ pe ̱ moto nu lomabe ̱ na Bete ̱ l ."
"With Deborah and Barak , we sing : "" Let all your enemies perish , O Jehovah , but let those who love you be like the sun rising in its glory . ""","Biso ̱ pe ̱ di malo ̱ ngo ̱ ka Debora na Barak ná : "" Basingedi bo ̱ ngo ̱ ba mańama , a Yehova ! nde bato ̱ nde ̱ wa be nde k 'elolombe , ponda e mabusano ̱ na pańa lao . "" ( Bak ."
"The increase we observe , the unity we enjoy , and the watchful attitude that we strive to maintain all contribute to our bringing glory to Jehovah .","Bońaki di me ̱ ne ̱ no ̱ , jalatane ̱ di mabwane ̱ no ̱ muńe ̱ nge ̱ , na miwe ̱ n di mapo ̱ ngo ̱ no ̱ o benga ja peńa , man me ̱ se ̱ ma mawanea Yehova esese ."
"While preaching from door to door , he met a bearded middle - aged man .","Buńa bō ̱ o dikalo la jo ̱ mbe ̱ na jo ̱ mbe ̱ , a ta a dongame ̱ n sango mō ̱ nu ta ńā teten a moto nu be ̱ n mase ̱ du ."
"So we fled through the back door and down the long garden path with all our belongings , never to return .","Di busedi nde la jo ̱ mbe ̱ la mbus 'a sua na sango lasu le ̱ se ̱ , di tomba la mōnda ma mbonji . Di si timbi pe ̱ to ̱ buńa ."
We will examine three reasons .,Di mala jombwea njo ̱ m ilalo .
"What is our response to divinely authorized headship ? By our respectful cooperation , we show our support for Jehovah 's sovereignty .",Di masue ̱ le ̱ pe ̱ byanedi ba Yehova tongwea na sibise ̱ biso ̱ me ̱ ne ̱ owas 'a bonasango ba madie ̱ le ̱ .
"When we had guests , we often played Bible games , and our children grew to love the Bible 's historical accounts .","Di ta be ̱ di kusi te ̱ be ̱ n , o jita la ngedi di ta joka maloko ma Bibe ̱ l , nika e boli ná bana basu ba to ̱ nde myango ma Bibe ̱ l o bokoka babu ."
"This article examines how we can use our material possessions to "" make friends "" in heaven .",Din jokwa di makwalea ne ̱ ni jeno ̱ ná di bolane ̱ mabe ̱ ne ̱ masu o ' wekea biso ̱ me ̱ ne ̱ mako ̱ m ' o mo ̱ ń .
"Yes , she treasures her ministry !","E , a ta a we ̱ le ̱ ebol 'ao ya dikalo mweńa !"
"Otherwise , some may associate with us only for personal advantage .","E titi te ̱ nika ke ̱ bō ̱ babu ba me ̱ nde ̱ nde lata na biso ̱ ońola muse ̱ ṅ . """
Jesus ' prophecy about diminishing love extends to our day .,Eding 'a Yesu jombwea wo ̱ ye ̱ la ndolo e mombwea pe ̱ mińa masu .
The talk presented especially for such ones is a highlight of every assembly and convention .,Ekwal 'a dubise ̱ ye nde ponda ye ̱ se ̱ pond 'a tobotobo ńa mako ̱ to ̱ ne ̱ masadi na mande ̱ ne ̱ .
We need to act in harmony with our prayers .,Jangame ̱ n dangwa bupisane ̱ mika masu .
"In connection with rebuilding the temple , Jehovah promised : "" It will occur - if you do not fail to listen to the voice of Jehovah your God . "" - Zech .","Jombwea ebol 'a longa la tempe ̱ l peńa , Yehova a ta a kakane ̱ ná : "" Nik 'e me ̱ nde ̱ londa , yete ̱ na lo sengan doi la Yehova , Loba lańu . "" - Sak ."
As told by Beishenbai Berdibaev,Mi langwabe ̱ na BEISHENBAI BERDIBAEV
"She relates : "" At first , I struggled to learn the local language , to adjust to the humid climate , and to cope with malaria , amoebas , and parasitic worms .","Mo ̱ ná : "" O bebotedi nan o jokwa bwambo ba wa wuma , o ko ̱ lo ̱ ngo ̱ ne ̱ mulo ̱ lo ̱ ko ̱ , na o lembe ̱ diboa la ngo ̱ , diboa la mukúbwako , na milo ̱ mbi mi mawane ̱ maboa ."
"The article then explained : "" He must do this by telling the good news to the peoples of the earth , and by conforming himself to the ways of light . ""","Mu bata pe ̱ ná : "" Angame ̱ n bola nika tongwea na langwea bato ba mundi ma wase myango ma bwam , na die ̱ le ̱ pe ̱ mo ̱ me ̱ ne ̱ bupisane ̱ mangea ma mwe ̱ ne ̱ n . """
"Gradually , with Jehovah 's help , Peter developed Christlike thinking .","Na jongwane ̱ la Yehova , son na son a timbi be ̱ ne ̱ jo ̱ nge ̱ le ̱ la Kristo ."
"Indeed , Jehovah makes the most unusual things happen .","Na mbale ̱ , Yehova a boli ná mambo me pasa ma bolane ̱ ."
"That event was so convincing that "" many became believers in the Lord . ""","Nde bato ba ta buba bwambi "" na jita di dube ̱ Sango . """
"Serving Jehovah , though , has brought me the greatest happiness and sense of accomplishment . ""","Nde bolea la Yehova di mawanea mba muńe ̱ nge ̱ jita , na mbaki ná ne o bola lambo la mweńa . """
"Because I was so young , I needed my father 's permission to enter that country .","Nde kana na tano ̱ na dia eso ̱ mbe ̱ jita , e ta e pula ná sango 'am o bole mba wonja denge ̱ na mingea o mu mundi ."
What role does family worship play in promoting unity ?,Ne ̱ ni Jowe ̱ la Ndabo a mbia di masue ̱ le ̱ no ̱ jalatane ̱ e ?
How does the disciple - making work provide a fine education ?,Ne ̱ ni ebol 'a timbise ̱ bato bokwedi yeno ̱ esukul 'a bwam e ?
How can we share in sanctifying God 's name ?,Ne ̱ ni jeno ̱ ná di no ̱ ngo ̱ dongo o sangisabe ̱ la dina la Loba e ?
"The next time an elder visits you , take advantage of the opportunity to draw on his wisdom and benefit from his advice .","Ngedi nipe ̱ pe ̱ mutudu a mape ̱ pe ̱ le ̱ no ̱ wa , bola ná di pe ̱ pe ̱ le ̱ di be ̱ wa muse ̱ ṅ , okwa na dibie ̱ lao , o kase pe ̱ malea a mabolano ̱ wa ."
What do we learn from the principle found at Galatians 6 : 5 ?,Nje bete ̱ sedi ba Galatia 6 : 5 be mokwe ̱ le ̱ no ̱ biso ̱ e ?
"In his wisdom , Jehovah has never told us the personal name of the angelic son who rebelled against him .","O dibie ̱ lao , Yehova a si boli biso ̱ dina la ni ange ̱ l ni kwe ̱ m mo ̱ ."
"Instead , may we "" trust in Jehovah with all [ our ] heart . "" - Prov .","O diwengisan , di "" lakisane ̱ Yehova na mulema [ masu ] mwe ̱ se ̱ . "" - Min ."
